Time_s,Signal_A,Signal_B
0.0,0.0,0.6
0.01,0.00999983,0.59997
0.02,0.01999867,0.59988
0.03,0.0299955,0.59973002
0.04,0.03998933,0.59952006
0.05,0.04997917,0.59925016
0.06,0.05996401,0.59892032
0.07,0.06994285,0.5985306
0.08,0.07991469,0.59808102
0.09,0.08987855,0.59757164
0.1,0.09983342,0.5970025
0.11,0.1097783,0.59637366
0.12,0.11971221,0.59568518
0.13,0.12963414,0.59493714
0.14,0.13954311,0.5941296
0.15,0.14943813,0.59326265
0.16,0.15931821,0.59233637
0.17,0.16918235,0.59135086
0.18,0.17902957,0.59030622
0.19,0.18885889,0.58920254
0.2,0.19866933,0.58803995
0.21,0.2084599,0.58681855
0.22,0.21822962,0.58553847
0.23,0.22797752,0.58419984
0.24,0.23770263,0.58280278
0.25,0.24740396,0.58134745
0.26,0.25708055,0.57983399
0.27,0.26673144,0.57826254
0.28,0.27635565,0.57663326
0.29,0.28595223,0.57494633
0.3,0.29552021,0.57320189
0.31,0.30505864,0.57140014
0.32,0.31456656,0.56954125
0.33,0.32404303,0.56762541
0.34,0.33348709,0.5656528
0.35,0.34289781,0.56362363
0.36,0.35227423,0.56153809
0.37,0.36161543,0.55939641
0.38,0.37092047,0.55719878
0.39,0.38018842,0.55494544
0.4,0.38941834,0.5526366
0.41,0.39860933,0.55027249
0.42,0.40776045,0.54785336
0.43,0.4168708,0.54537945
0.44,0.42593947,0.542851
0.45,0.43496553,0.54026826
0.46,0.44394811,0.5376315
0.47,0.45288629,0.53494097
0.48,0.46177918,0.53219695
0.49,0.47062589,0.52939972
0.5,0.47942554,0.52654954
0.51,0.48817725,0.5236467
0.52,0.49688014,0.52069151
0.53,0.50553334,0.51768424
0.54,0.51413599,0.51462521
0.55,0.52268723,0.51151471
0.56,0.5311862,0.50835307
0.57,0.53963205,0.50514059
0.58,0.54802394,0.50187759
0.59,0.55636102,0.49856441
0.6,0.56464247,0.49520137
0.61,0.57286746,0.49178881
0.62,0.58103516,0.48832707
0.63,0.58914476,0.4848165
0.64,0.59719544,0.48125745
0.65,0.60518641,0.47765028
0.66,0.61311685,0.47399534
0.67,0.62098599,0.470293
0.68,0.62879302,0.46654363
0.69,0.63653718,0.46274761
0.7,0.64421769,0.45890531
0.71,0.65183377,0.45501713
0.72,0.65938467,0.45108344
0.73,0.66686964,0.44710464
0.74,0.67428791,0.44308114
0.75,0.68163876,0.43901332
0.76,0.68892145,0.43490161
0.77,0.69613524,0.4307464
0.78,0.70327942,0.42654812
0.79,0.71035327,0.42230719
0.8,0.71735609,0.41802403
0.81,0.72428717,0.41369906
0.82,0.73114583,0.40933272
0.83,0.73793137,0.40492546
0.84,0.74464312,0.4004777
0.85,0.75128041,0.39598989
0.86,0.75784256,0.39146248
0.87,0.76432894,0.38689593
0.88,0.77073888,0.38229069
0.89,0.77707175,0.37764722
0.9,0.78332691,0.37296598
0.91,0.78950374,0.36824745
0.92,0.79560162,0.36349209
0.93,0.80161994,0.35870039
0.94,0.8075581,0.35387282
0.95,0.8134155,0.34900985
0.96,0.81919157,0.34411199
0.97,0.82488571,0.33917972
0.98,0.83049737,0.33421353
0.99,0.83602598,0.32921392
1.0,0.84147098,0.32418138
1.01,0.84683184,0.31911643
1.02,0.85210802,0.31401957
1.03,0.85729899,0.30889131
1.04,0.86240423,0.30373215
1.05,0.86742323,0.29854263
1.06,0.87235548,0.29332325
1.07,0.8772005,0.28807454
1.08,0.88195781,0.28279702
1.09,0.88662691,0.27749122
1.1,0.89120736,0.27215767
1.11,0.89569869,0.26679691
1.12,0.90010044,0.26140947
1.13,0.90441219,0.25599588
1.14,0.9086335,0.2505567
1.15,0.91276394,0.24509246
1.16,0.91680311,0.23960372
1.17,0.9207506,0.23409101
1.18,0.92460601,0.22855489
1.19,0.92836897,0.22299592
1.2,0.93203909,0.21741465
1.21,0.935616,0.21181164
1.22,0.93909936,0.20618745
1.23,0.9424888,0.20054264
1.24,0.945784,0.19487777
1.25,0.94898462,0.18919342
1.26,0.95209034,0.18349015
1.27,0.95510086,0.17776852
1.28,0.95801586,0.17202913
1.29,0.96083506,0.16627253
